Speaker: 103, Supervector Length: 104
Speaker: 5456, Supervector Length: 104
Speaker: 5463, Supervector Length: 104
Speaker: 5514, Supervector Length: 104
Speaker: 5561, Supervector Length: 104
Speaker: 5652, Supervector Length: 104
Speaker: 5678, Supervector Length: 104
Speaker: 5688, Supervector Length: 104
Speaker: 5703, Supervector Length: 104
Speaker: 5750, Supervector Length: 104
Speaker: 5778, Supervector Length: 104
Speaker: 5789, Supervector Length: 104
Speaker: 5808, Supervector Length: 104
Speaker: 5867, Supervector Length: 104
Speaker: 587, Supervector Length: 104
Speaker: 60, Supervector Length: 104
Speaker: 6000, Supervector Length: 104
Speaker: 6019, Supervector Length: 104
Speaker: 6064, Supervector Length: 104
Speaker: 6078, Supervector Length: 104
Speaker: 6081, Supervector Length: 104
Speaker: 6147, Supervector Length: 104
Speaker: 6181, Supervector Length: 104
Speaker: 6209, Supervector Length: 104
Speaker: 625, Supervector Length: 104
Speaker: 6272, Supervector Length: 104
Speaker: 6367, Supervector Length: 104
Speaker: 6385, Supervector Length: 104
Speaker: 6415, Supervector Length: 104
Speaker: 6437, Supervector Length: 104
Speaker: 6454, Supervector Length: 104
Speaker: 6476, Supervector Length: 104
Speaker: 6529, Supervector Length: 104
Speaker: 6531, Supervector Length: 104
Speaker: 6563, Supervector Length: 104
Speaker: 669, Supervector Length: 104
Speaker: 6818, Supervector Length: 104
Speaker: 6836, Supervector Length: 104
Speaker: 6848, Supervector Length: 104
Speaker: 6880, Supervector Length: 104
Speaker: 6925, Supervector Length: 104
Speaker: 696, Supervector Length: 104
Speaker: 7059, Supervector Length: 104
Speaker: 7067, Supervector Length: 104
Speaker: 7078, Supervector Length: 104
Speaker: 7113, Supervector Length: 104
Speaker: 7148, Supervector Length: 104
Speaker: 7178, Supervector Length: 104
Speaker: 7190, Supervector Length: 104
Speaker: 7226, Supervector Length: 104
Speaker: 7264, Supervector Length: 104
Speaker: 7278, Supervector Length: 104
Speaker: 730, Supervector Length: 104
Speaker: 7302, Supervector Length: 104
Speaker: 7312, Supervector Length: 104
Speaker: 7367, Supervector Length: 104
Speaker: 7402, Supervector Length: 104
Speaker: 7447, Supervector Length: 104
Speaker: 7505, Supervector Length: 104
Speaker: 7511, Supervector Length: 104
Speaker: 7517, Supervector Length: 104
Speaker: 7635, Supervector Length: 104
Speaker: 7780, Supervector Length: 104
Speaker: 7794, Supervector Length: 104
Speaker: 78, Supervector Length: 104
Speaker: 7800, Supervector Length: 104
Speaker: 7859, Supervector Length: 104
Speaker: 8014, Supervector Length: 104
Speaker: 8051, Supervector Length: 104
Speaker: 8063, Supervector Length: 104
Speaker: 8088, Supervector Length: 104
Speaker: 8095, Supervector Length: 104
Speaker: 8098, Supervector Length: 104
Speaker: 8108, Supervector Length: 104
Speaker: 8123, Supervector Length: 104
Speaker: 8226, Supervector Length: 104
Speaker: 8238, Supervector Length: 104
Speaker: 83, Supervector Length: 104
Speaker: 831, Supervector Length: 104
Speaker: 8312, Supervector Length: 104
Speaker: 8324, Supervector Length: 104
Speaker: 839, Supervector Length: 104
Speaker: 8419, Supervector Length: 104
Speaker: 8425, Supervector Length: 104
Speaker: 8465, Supervector Length: 104
Speaker: 8468, Supervector Length: 104
Speaker: 8580, Supervector Length: 104
Speaker: 8609, Supervector Length: 104
Speaker: 8629, Supervector Length: 104
Speaker: 8630, Supervector Length: 104
Speaker: 87, Supervector Length: 104
Speaker: 8747, Supervector Length: 104
Speaker: 8770, Supervector Length: 104
Speaker: 8797, Supervector Length: 104
Speaker: 8838, Supervector Length: 104
Speaker: 887, Supervector Length: 104
Speaker: 89, Supervector Length: 104
Speaker: 8975, Supervector Length: 104
Speaker: 909, Supervector Length: 104
Speaker: 911, Supervector Length: 104
